,facility,city,Code,website,href
99,casa,bogota,4976-109036,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-ingenio-5-habitaciones-5-banos-3-garajes/4976-109036
100,casa,bogota,3854-M3638549,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-paseo-de-los-almendros-4-habitaciones-4-banos-1-garajes/3854-M3638549
101,casa,bogota,4915-3703952,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-4-habitaciones-5-banos/4915-3703952
102,casa,bogota,9947-119012534,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sector-transito-municipal-5-habitaciones-2-banos/9947-119012534
103,casa,bogota,835-12068,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pampa-linda-4-habitaciones-5-banos-4-garajes/835-12068
104,casa,bogota,793-M3788773,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-jardin-4-habitaciones-5-banos-4-garajes/793-M3788773
105,casa,bogota,2589-M3607589,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-la-base-planta-y-talleres-4-habitaciones-3-banos/2589-M3607589
106,casa,bogota,835-M3344423,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-mayapan-las-vegas-5-habitaciones-4-banos-1-garajes/835-M3344423
107,casa,bogota,548-776,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-4-habitaciones-5-banos-4-garajes/548-776
108,casa,bogota,9947-5770,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-siete-de-agosto-5-habitaciones-5-banos/9947-5770
109,casa,bogota,4915-M3691927,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-los-portales-nuevo-rey-5-habitaciones-5-banos-3-garajes/4915-M3691927
110,casa,bogota,788-M3746803,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-4-habitaciones-5-banos-3-garajes/788-M3746803
111,casa,bogota,835-13595,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-cordoba-5-habitaciones-2-banos/835-13595
112,casa,bogota,788-M3607231,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-san-francisco-3-habitaciones-3-banos-2-garajes/788-M3607231
113,casa,bogota,9947-M3391282,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-san-fernando-viejo-4-habitaciones-4-banos-4-garajes/9947-M3391282
114,casa,bogota,4915-M3600752,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-monica-5-habitaciones-4-banos-1-garajes/4915-M3600752
115,casa,bogota,9947-M3808272,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-prados-del-norte-3-habitaciones-2-banos/9947-M3808272
116,casa,bogota,10159-M3886564,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-real-4-habitaciones-4-banos-2-garajes/10159-M3886564
117,casa,bogota,793-M3804674,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-caney-4-habitaciones-5-banos-2-garajes/793-M3804674
118,casa,bogota,13195-M3715954,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sector-transito-municipal-4-habitaciones-3-banos-2-garajes/13195-M3715954
119,casa,bogota,14835-M3674196,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-real-4-habitaciones-4-banos-2-garajes/14835-M3674196
120,casa,bogota,277-M3016664,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-4-habitaciones-5-banos-1-garajes/277-M3016664
121,casa,bogota,835-M3394848,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-villa-colombia-5-habitaciones-5-banos-4-garajes/835-M3394848
122,casa,bogota,835-M3388719,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-2000-5-habitaciones-4-banos-1-garajes/835-M3388719
123,casa,bogota,3406-M3566182,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-2000-5-habitaciones-2-banos-1-garajes/3406-M3566182
124,casa,bogota,788-M3346241,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-mayapan-las-vegas-5-habitaciones-4-banos-3-garajes/788-M3346241
125,casa,bogota,788-M3721152,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-villa-del-prado-5-habitaciones-4-banos/788-M3721152
126,casa,bogota,2361-M3638728,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-los-guayacanes-5-habitaciones-2-banos/2361-M3638728
127,casa,bogota,14259-M3396046,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-ingenio-5-habitaciones-4-banos-2-garajes/14259-M3396046
128,casa,bogota,793-M3804675,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-valle-del-lili-3-habitaciones-4-banos-2-garajes/793-M3804675
129,casa,bogota,631-M3820642,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-nueva-tequendama-4-habitaciones-3-banos-2-garajes/631-M3820642
130,casa,bogota,1265-3695643,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-lili-3-habitaciones-3-banos-1-garajes/1265-3695643
131,casa,bogota,10159-M3517952,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-san-judas-tadeo-i-4-habitaciones-4-banos-2-garajes/10159-M3517952
